,Documento de identidad,# carnet,Nombre,Apellidos,Genero,Edad,Correo personal,Cargo,Correo Ins,Telefono,Ciudad residencia,Direccion residencia,Tipo de sangre,Fecha nacimiento,Acudiente,Tel. Acudiente,Correo acudiente,Carrera,Programa academico,Plan acaemico,Estado Programa,Estado carrera,Semestre,Matricula,Estrato,Año de admisión,Promedio acumulado,Promedio semestre,% creditos aprovados,Financiado,Entidad que lo financia,Familiares en la Escuela,Nivel de ingles,Tipo documento,EPS,Total creditos,Creditos aprovados,Creditos faltantes,Creditos actuales,Libreta militar,Alergias,Deuda,ID Enlace,Materias canceladas,Materias perdidas,Año esperado de grado,Pais de nacimiento,Ciudad Nacimiento,Estado civil,Monitor
0,647869267,1000065632,Antonella,Duran Calderon,M,25,AntonellaDuran301@yahoo.com,Admin,Antonella.Duran@escuelaing.edu.co,3514380024,Zipaquira,cll 10g Bis #10c-147,B+,1997-12-11,Luis Duran,3515908405,Lnp@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2001,N/A,N/A,N/A,N/A,N/A,SI,B2,CC,Comfandi,N/A,N/A,N/A,N/A,N/A,Ninguna,N/A,1000065632,N/A,N/A,N/A,Colombia,Cucuta,Casado,N/A
1,936076572,2167711,Daniel,Mesa Puerta,H,20,DanielMesa375@hotmail.com,Estudiante,Daniel.Mesa@mail.escuelaing.edu.co,3189959666,Bogotá,trans 4Bis #15a Bis-68,AB-,2003-01-11,Gustavo Mesa,3186667933,Ga513@yahoo.com,Ingieneria Electronica,IELC,IELC351,MATR,Pregrado,8,7315568,4,2019,3.2,3.2,85%,Si,Fondo solidario,SI,B1,TI,Colsubsidio,168,142.79999999999998,25.200000000000017,10,Si,Yodo,0,2163007,2,0,2024,Colombia,Bogotá,Soltero,Si
2,650968430,2166440,Ana,Restrepo Chamorro,M,17,AnaRestrepo378@gmail.com,Estudiante,Ana.Restrepo@mail.escuelaing.edu.co,3186643477,Sopo,trans 16c Bis #19a Bis-51,A-,2005-08-31,José Restrepo,3103012913,J.od@hotmail.com,Ingieneria Industrial,IIND,IIND349,PLNC,Pregrado,5,5000000,3,2018,3.2,3.1,54%,No,N/A,NO,B2,CC,Colsubsidio,170,91.8,78.2,17,N/A,Anticonvulsivos,0,2162609,4,0,2023,Venezuela,N/A,Soltero,No
3,594491152,1000062048,Justin,Perea Cano,H,17,JustinPerea819@gmail.com,Estudiante,Justin.Perea@mail.escuelaing.edu.co,3171476589,Bogotá,dg 12e Bis #11a-55,B-,2005-02-27,Daniel Perea,3219980239,Da953@outlook.com,Ingieneria Civil,ICIV,ICIV350,MATR,Pregrado,4,5000000,1,2023,3.3,3.4,43%,Si,ICETEX,SI,B2,CC,Compensar,170,73.1,96.9,19,Si,Sulfamidas,5000000,1000062048,1,0,2028,Colombia,Cartagena,Casado,No
4,663259125,1000028476,María,Baron Cabrera,M,24,MaríaBaron521@gmail.com,Estudiante,María.Baron@mail.escuelaing.edu.co,3153536881,Bogotá,dg 20e #2a Bis-43,O+,1998-11-09,Isabella Cabrera,3056605371,I.ah@yahoo.com,Ingieneria Sistemas,ISIS,ISIS350,ACTV,Pregrado,5,7251629,6,2019,4.9,4.6,47%,No,N/A,NO,B1,CC,Nueva EPS,158,74.26,83.74,20,N/A,Penicilina,3625814.5,1000028476,3,0,2024,Colombia,Santa Marta,Soltero,No
5,1075961763,2168716,Alberto,Velasco Clavijo,H,19,Alberto.VelascoX@outlook.com,Estudiante,Alberto.Velasco@mail.escuelaing.edu.co,3195589763,La Calera,cra 5b Bis #10b-138,B+,2004-02-01,Agustina Clavijo,3214102360,Ao905@outlook.com,Ingieneria Sistemas,ISIS,ISIS359,ACTV,Especialización,N/A,6927708,5,2022,4.9,4.6,N/A,Si,Pilo paga,SI,B1,CC,Sura /Suramericana,158,N/A,N/A,14,Si,Anticonvulsivos,0,2162334,1,0,2027,Venezuela,N/A,Casado,No
6,1096816949,1000034221,Kiara,Salgado Grisales,M,23,KiaraSalgadoT@gmail.com,Estudiante,Kiara.Salgado@mail.escuelaing.edu.co,3152868025,Bogotá,cll 15e #16a-108,O+,1999-03-24,Félix Salgado,3007877903,FoL@outlook.com,Ingieneria Electrica,IELE,IELE352,MATR,Pregrado,1,12125683,4,2020,3.5,3.6,20%,No,N/A,SI,C1,PAP,Nueva EPS,163,32.599999999999994,130.4,20,N/A,Ninguna,0,1000034221,3,0,2025,Colombia,Medellin,Soltero,Si
7,1032110193,2162780,Alonso,Berrio Alzate,H,24,AlonsoBerrio231@hotmail.com,Estudiante,Alonso.Berrio@mail.escuelaing.edu.co,3128925702,Bogotá,cll 4Bis #6b Bis-117,B-,1998-04-02,Jesús Alzate,3118161450,Je59@outlook.com,Ingieneria Ambiental,IAMB,IAMB347,MATR,Pregrado,4,11478689,4,2021,4.8,4.4,43%,Si,ICETEX,NO,B1,PAP,Saludvida,170,73.1,96.9,19,Si,Yodo,0,2162982,1,0,2026,Colombia,Bogotá,Soltero,No
8,1019423687,1000044552,Karla,Tellez Uribe,M,25,KarlaTellez88@yahoo.com,Profesor,Karla.Tellez@escuelaing.edu.co,3007323357,Bogotá,trans 8d Bis #9b-152,A-,1997-05-29,Mercedes Uribe,3226532275,M.ev@gmail.com,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2013,N/A,N/A,N/A,N/A,N/A,NO,B1,TI,Famisanar,N/A,N/A,N/A,N/A,N/A,Sulfamidas,N/A,1000044552,N/A,N/A,N/A,Argentina,N/A,Soltero,N/A
9,794423855,1000097376,Luisa,Giraldo Cortes,M,18,LuisaGiraldo550@hotmail.com,Estudiante,Luisa.Giraldo@mail.escuelaing.edu.co,3124235576,Sopo,dg 18g #7b-128,B-,2005-01-20,Luis Giraldo,3508265864,Lo961@hotmail.com,Ingieneria Biomedica,IBIO,IBIO348,PLNC,Pregrado,4,12222813,4,2020,4.4,4.6,30%,Si,Fondo solidario,NO,B1,CC,Cafesalud,154,46.2,107.8,17,N/A,Antibióticos conexos,0,1000097376,1,0,2025,Colombia,Barranquilla,Casado,No
